------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.559455301971172e+01  5.200000000000000e+00        1
 2.387755102040816e+00  1.396475422087465e-02  5.005748522338992e-02  3.637784873302197e-01  1.558773861176889e+01  5.208839941579524e+00        2
 4.775510204081632e+00  2.396602026354058e-02  8.694386659281718e-02  2.456692182817634e-03  1.541083467878359e+01  5.237887092263203e+00        3
 7.163265306122447e+00  1.416951552586850e-02  5.307191353698237e-02 -3.739583116561830e-01  1.494855563474368e+01  5.293325313383697e+00        4
 9.551020408163264e+00 -7.202576606772585e-03 -2.834268227993915e-02 -5.565867572638520e-01  1.425845480678574e+01  5.367339854814920e+00        5
 1.193877551020408e+01 -3.222035746595715e-02 -1.352768396731961e-01 -5.569503717681072e-01  1.339714163725627e+01  5.452092684226667e+00        6
 1.432653061224490e+01 -5.362275484630902e-02 -2.434441389056812e-01 -3.844330079266139e-01  1.242201947682708e+01  5.540031728503847e+00        7
 1.671428571428572e+01 -6.426198414375006e-02 -3.188598483871042e-01 -1.185533504761426e-01  1.139457131628079e+01  5.621824261194381e+00        8
 1.910204081632653e+01 -6.350397708909480e-02 -3.469958526716618e-01  1.212165573276623e-02  1.037097608496841e+01  5.692531175149338e+00        9
 2.148979591836735e+01 -6.325166382518024e-02 -3.819068650570526e-01  1.089596390811094e-02  9.403999874823057e+00  5.742610890726970e+00       10
 2.387755102040816e+01 -6.259581619216563e-02 -4.162773967965841e-01  4.082780357234325e-02  8.551522201182079e+00  5.764836827022541e+00       11
 2.626530612244898e+01 -5.984873296837660e-02 -4.350341475278324e-01  1.162796521024485e-01  7.833153039627247e+00  5.756119529852528e+00       12
 2.865306122448980e+01 -5.290410261958398e-02 -4.192878615908359e-01  1.898291606260782e-01  7.191354972096501e+00  5.703098512750650e+00       13
 3.104081632653061e+01 -4.402680955935630e-02 -3.833468507053414e-01  1.957030256041734e-01  6.551629060916145e+00  5.604676021602162e+00       14
 3.342857142857143e+01 -3.659260487174364e-02 -3.520562387211776e-01  1.623613255854844e-01  5.933995702189942e+00  5.471559126660524e+00       15
 3.581632653061224e+01 -3.049427477279378e-02 -3.258680587010861e-01  1.340520568039066e-01  5.346089613189348e+00  5.322778014171772e+00       16
 3.820408163265306e+01 -2.541959376090473e-02 -3.029463320739354e-01  1.104723615298054e-01  4.796333947019595e+00  5.166482288167050e+00       17
 4.059183673469388e+01 -2.128658849360936e-02 -2.833278558945826e-01  9.118513773817857e-02  4.296593562725417e+00  5.019421327310202e+00       18
 4.297959183673468e+01 -1.781946377561107e-02 -2.650005898111198e-01  7.705369085415510e-02  3.846955194686785e+00  4.885807888739599e+00       19
 4.536734693877551e+01 -1.486429039163905e-02 -2.468940178014830e-01  6.631038115942264e-02  3.445342056797746e+00  4.767959675121795e+00       20
 4.775510204081632e+01 -1.229260239309925e-02 -2.286827195540772e-01  5.755252894523184e-02  3.076913909773020e+00  4.654566079625438e+00       21
 5.014285714285714e+01 -1.006738134588052e-02 -2.108533280970962e-01  4.915947370192100e-02  2.733562457425842e+00  4.541031051711910e+00       22
 5.253061224489795e+01 -8.195240571994677e-03 -1.945396261857828e-01  4.090270751426107e-02  2.412234674442038e+00  4.428175577624730e+00       23
 5.491836734693877e+01 -6.658207368710730e-03 -1.805730451752768e-01  3.371632419097337e-02  2.111690772172129e+00  4.316958876583997e+00       24
 5.730612244897959e+01 -5.385039850515510e-03 -1.686917049154445e-01  2.793518628235815e-02  1.828396455235506e+00  4.207880735790049e+00       25
 5.969387755102041e+01 -4.329855036433602e-03 -1.591120396576385e-01  2.314166114139546e-02  1.558783420877334e+00  4.101646187027423e+00       26
 6.208163265306122e+01 -3.456220016758642e-03 -1.520171259813259e-01  1.906080527673919e-02  1.302436869719713e+00  3.998712335312356e+00       27
 6.446938775510203e+01 -2.741167890684734e-03 -1.475340510338809e-01  1.598158836584476e-02  1.064427371073839e+00  3.899408676051565e+00       28
 6.685714285714285e+01 -2.124180589466368e-03 -1.442863764849721e-01  1.384083719294926e-02  8.434461662411673e-01  3.803172543681295e+00       29
 6.924489795918367e+01 -1.587556592141899e-03 -1.428866903746157e-01  1.238502265353536e-02  6.365641868417889e-01  3.709389453654426e+00       30
 7.163265306122447e+01 -1.091909066122374e-03 -1.431497271870684e-01  1.177342975995867e-02  4.370289000217617e-01  3.617111741572532e+00       31
 7.402040816326530e+01 -6.062603424379557e-04 -1.449404201922671e-01  1.187325661423331e-02  2.396567933387980e-01  3.525634918177657e+00       32
 7.640816326530611e+01 -1.022924103583126e-04 -1.477133050470215e-01  1.274555750777664e-02  3.967768814723920e-02  3.434082670567315e+00       33
 7.879591836734693e+01  4.560611749646215e-04 -1.511924136895065e-01  1.446006231503441e-02 -1.728281243479747e-01  3.341933111457596e+00       34
